lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
"SP",1982,20,1982-01-20 00:00:00,1,10,4.3,3.0,6.8,43.0,1,22.5,20.5
"SP",1982,55,1982-02-24 00:00:00,1,10,13.4,2.1,1.7,49.2,1,29.3,19.9
"SP",1982,95,1982-04-05 00:00:00,1,10,4.0,1.8,4.0,51.0,1,24.7,26.3
"SP",1983,13,1983-01-13 00:00:00,1,10,24.0,0.8,0.0,27.0,1,1.0,26.0
"SP",1983,55,1983-02-24 00:00:00,1,1,1.0,,0.0,29.0,1,1.0,28.0
"SP",1983,87,1983-03-28 00:00:00,1,10,9.5,1.3,0.0,39.0,1,8.0,31.0
"SP",1984,6,1984-01-06 00:00:00,1,10,2.7,1.1,,36.2,1,11.8,24.4
"SP",1984,58,1984-02-27 00:00:00,1,10,1.0,1.8,4.0,47.5,1,15.0,32.5
"SP",1984,101,1984-04-10 00:00:00,1,1,0.0,0.0,2.5,44.5,1,5.0,39.5
"SP",1985,11,1985-01-11 00:00:00,1,10,8.8,1.0,1.0,28.7,1,3.0,25.7
"SP",1985,58,1985-02-27 00:00:00,1,10,11.7,3.2,3.5,48.0,1,4.0,44.0
"SP",1985,85,1985-03-26 00:00:00,1,10,0.5,0.5,5.0,56.0,1,12.0,44.0
"SP",1985,101,1985-04-11 00:00:00,1,1,0.0,,5.0,50.0,1,50.0,
"SP",1986,14,1986-01-14 00:00:00,1,10,17.5,1.8,1.0,29.0,1,6.0,23.0
"SP",1986,58,1986-02-27 00:00:00,1,10,17.7,2.8,-2.0,51.0,1,34.0,17.0
"SP",1987,14,1987-01-14 00:00:00,1,10,3.5,0.7,0.0,24.0,1,0.0,24.0
"SP",1987,55,1987-02-24 00:00:00,1,10,13.4,1.8,0.0,41.0,1,0.0,41.0
"SP",1987,83,1987-03-24 00:00:00,1,1,0.0,,3.0,34.0,,34.0,0.0
"SP",1988,19,1988-01-19 00:00:00,1,10,2.8,1.6,4.0,35.0,1,16.0,19.0
"SP",1988,60,1988-02-29 00:00:00,1,10,10.4,5.1,0.0,54.0,2,51.0,3.0
"SP",1988,95,1988-04-04 00:00:00,1,1,0.0,,6.0,58.0,2,9.5,48.5
"SP",1989,12,1989-01-12 00:00:00,1,10,18.3,,-2.8,33.0,1,0.0,33.0
"SP",1989,54,1989-02-23 00:00:00,1,10,7.9,,5.0,58.5,1,17.5,41.0
"SP",1989,88,1989-03-29 00:00:00,1,10,,,4.5,50.0,1,5.0,45.0
"SP",1990,17,1990-01-17 00:00:00,1,10,15.9,,-5.0,36.0,1,,36.0
"SP",1990,50,1990-02-19 00:00:00,1,10,15.9,,1.0,51.0,1,10.0,41.0
"SP",1990,87,1990-03-28 00:00:00,1,1,0.0,,3.0,39.0,1,4.0,35.0
"SP",1991,16,1991-01-16 00:00:00,1,10,8.8,,1.0,38.0,1,5.0,33.0
"SP",1991,50,1991-02-19 00:00:00,1,10,8.6,,2.0,55.0,1,5.0,50.0
"SP",1991,84,1991-03-25 00:00:00,1,1,0.0,,3.0,53.0,1,3.0,50.0
"SP",1992,14,1992-01-14 00:00:00,1,10,11.3,,0.0,30.0,1,7.0,23.0
"SP",1992,61,1992-03-01 00:00:00,1,10,22.5,,4.0,41.0,1,7.0,34.0
"SP",1992,87,1992-03-27 00:00:00,1,10,0.4,,2.0,52.0,1,10.0,42.0
"SP",1993,13,1993-01-13 00:00:00,1,10,19.0,,1.0,36.5,1,6.0,30.5
"SP",1993,60,1993-03-01 00:00:00,1,10,2.7,,3.5,60.5,1,21.5,39.0
"SP",1993,81,1993-03-22 00:00:00,1,10,9.1,,3.0,56.0,1,23.0,33.0
"SP",1994,12,1994-01-12 00:00:00,1,10,6.8,,1.0,30.0,1,10.0,20.0
"SP",1994,52,1994-02-21 00:00:00,1,1,0.0,,2.0,39.0,1,6.0,33.0
"SP",1994,87,1994-03-28 00:00:00,1,10,15.5,,1.0,44.0,1,0.0,44.0
"SP",1995,9,1995-01-09 00:00:00,1,10,2.1,,2.0,30.0,1,2.0,28.0
"SP",1995,51,1995-02-20 00:00:00,1,10,15.5,,2.0,42.0,1,1.0,41.0
"SP",1995,83,1995-03-24 00:00:00,1,10,1.0,,1.0,34.0,1,0.0,34.0
"SP",1996,24,1996-01-24 00:00:00,1,10,11.0,,1.5,51.0,1,22.0,29.0
"SP",1996,52,1996-02-21 00:00:00,1,10,11.7,,0.0,53.0,1,26.0,27.0
"SP",1996,92,1996-04-01 00:00:00,1,10,18.2,,0.0,70.0,1,32.0,38.0
"SP",1997,14,1997-01-14 00:00:00,1,10,11.0,,1.0,37.0,1,26.0,11.0
"SP",1997,48,1997-02-17 00:00:00,1,10,24.5,,-2.0,40.0,1,26.0,14.0
"SP",1997,84,1997-03-25 00:00:00,1,10,31.0,,-5.0,44.0,1,31.0,13.0
"SP",1998,12,1998-01-12 00:00:00,1,10,17.5,,0.0,26.0,1,0.0,26.0
"SP",1998,54,1998-02-23 00:00:00,1,1,0.0,,2.0,35.0,1,11.0,24.0
"SP",1998,77,1998-03-18 00:00:00,1,10,8.5,,2.0,37.0,1,8.0,29.0
"SP",1999,18,1999-01-18 00:00:00,1,10,22.9,,-4.0,26.0,1,0.0,26.0
"SP",1999,54,1999-02-23 00:00:00,1,10,9.0,,1.0,41.0,1,14.0,27.0
"SP",1999,83,1999-03-24 00:00:00,1,10,1.0,,4.0,53.0,1,17.0,36.0
"SP",2000,18,2000-01-18 00:00:00,1,10,18.9,,-2.5,27.5,1,0.5,27.0
"SP",2000,53,2000-02-22 00:00:00,1,10,27.6,,-4.0,36.0,1,2.0,34.0
"SP",2001,22,2001-01-22 00:00:00,1,10,20.7,,-4.0,32.0,1,10.0,22.0
"SP",2001,59,2001-02-28 00:00:00,1,10,15.7,,0.0,44.0,1,23.0,21.0
"SP",2001,93,2001-04-03 00:00:00,1,10,2.2,,2.0,45.0,1,32.0,13.0
"SP",2002,16,2002-01-16 00:00:00,1,10,5.1,,0.0,16.5,1,4.0,12.5
"SP",2002,59,2002-02-28 00:00:00,1,10,1.6,,2.0,38.0,1,11.0,27.0
"SP",2002,91,2002-04-01 00:00:00,1,10,15.0,,0.0,54.0,1,21.0,33.0
"SP",2003,15,2003-01-15 00:00:00,1,10,1.0,,4.0,45.0,1,0.0,45.0
"SP",2003,65,2003-03-06 00:00:00,1,10,17.5,,1.0,61.0,1,0.0,61.0
"SP",2003,92,2003-04-02 00:00:00,1,10,7.5,,1.0,48.0,1,0.0,48.0
"SP",2004,12,2004-01-12 00:00:00,1,10,10.0,,0.0,37.0,1,8.0,29.0
"SP",2004,49,2004-02-18 00:00:00,1,10,29.7,,-3.0,42.0,1,7.0,35.0
"SP",2004,98,2004-04-07 00:00:00,1,1,0.0,,2.0,39.0,1,6.0,33.0
"SP",2005,19,2005-01-19 00:00:00,1,10,11.2,,0.0,43.0,1,0.0,43.0
"SP",2005,56,2005-02-25 00:00:00,1,10,10.0,,1.0,54.0,1,5.0,49.0
"SP",2005,96,2005-04-06 00:00:00,1,1,0.0,,2.0,42.0,1,0.0,42.0
"SP",2006,17,2006-01-17 00:00:00,1,10,12.5,,0.0,29.0,1,6.0,23.0
"SP",2006,44,2006-02-13 00:00:00,1,10,23.6,,-5.0,33.0,1,12.0,21.0
"SP",2006,90,2006-03-31 00:00:00,1,1,0.0,,3.0,41.0,1,21.0,20.0
"SP",2007,15,2007-01-15 00:00:00,1,10,6.8,,2.0,29.0,1,8.0,21.0
"SP",2007,51,2007-02-20 00:00:00,1,10,8.7,,2.0,42.0,1,5.0,37.0
"SP",2007,87,2007-03-28 00:00:00,1,1,0.0,,2.0,27.0,1,0.0,27.0
"SP",2008,17,2008-01-17 00:00:00,1,10,11.1,,1.0,33.0,1,8.0,25.0
"SP",2008,63,2008-03-03 00:00:00,1,10,18.9,,0.0,48.0,1,13.0,35.0
"SP",2008,87,2008-03-27 00:00:00,1,10,16.1,,-5.0,50.0,1,6.0,44.0
"SP",2008,123,2008-05-02 00:00:00,1,1,0.0,,0.0,0.0,1,0.0,0.0
"SP",2009,20,2009-01-20 00:00:00,1,10,17.8,,1.0,45.0,1,6.0,39.0
"SP",2009,55,2009-02-24 00:00:00,1,10,3.6,,4.0,55.0,1,9.0,46.0
"SP",2009,79,2009-03-20 00:00:00,1,1,0.0,,4.0,56.0,1,5.0,51.0
"SP",2010,12,2010-01-12 00:00:00,1,10,5.7,,2.0,32.0,1,17.0,15.0
"SP",2010,42,2010-02-11 00:00:00,1,10,9.4,,1.0,46.0,1,14.0,32.0
"SP",2011,18,2011-01-18 00:00:00,1,10,16.9,,0.0,31.0,1,10.0,21.0
"SP",2011,45,2011-02-14 00:00:00,1,10,16.9,,-2.0,35.0,1,11.0,24.0
"SP",2011,80,2011-03-21 00:00:00,1,10,1.4,,1.0,43.0,1,7.0,36.0
"SP",2012,12,2012-01-12 00:00:00,1,10,9.0,,0.0,29.0,1,1.0,28.0
"SP",2012,52,2012-02-21 00:00:00,1,10,9.4,,2.0,41.0,1,11.0,30.0
"SP",2013,14,2013-01-14 00:00:00,1,,0.0,,1.0,21.0,,1.0,20.0
"SP",2013,56,2013-02-25 00:00:00,1,,21.0,,0.0,45.0,,16.0,29.0
"SP",2013,88,2013-03-29 00:00:00,1,,7.2,,1.0,59.0,,24.0,35.0
"SP",2014,30,2014-01-30 00:00:00,1,,32.1,,-3.0,38.0,,7.0,31.0
"SP",2014,48,2014-02-17 00:00:00,1,,22.0,,-1.0,50.0,,32.0,18.0
"SP",2014,83,2014-03-24 00:00:00,1,,10.8,,5.0,72.0,,45.0,27.0
